50 (PWM);    0:0 (rpm);    0.00:0.00 (km/h)
50 (PWM);    0:0 (rpm);    0.00:0.00 (km/h)
50 (PWM);    0:0 (rpm);    0.00:0.00 (km/h)
50 (PWM);    0:0 (rpm);    0.00:0.00 (km/h)
50 (PWM);    0:0 (rpm);    0.00:0.00 (km/h)
60 (PWM);    0:0 (rpm);    0.00:0.00 (km/h)
60 (PWM);    0:0 (rpm);    0.00:0.00 (km/h)
60 (PWM);    0:0 (rpm);    0.00:0.00 (km/h)
60 (PWM);    0:0 (rpm);    0.00:0.00 (km/h)
60 (PWM);    30:0 (rpm);    0.72:0.00 (km/h)
70 (PWM);    30:0 (rpm);    0.72:0.00 (km/h)
70 (PWM);    54:0 (rpm);    1.30:0.00 (km/h)
70 (PWM);    48:0 (rpm);    1.16:0.00 (km/h)
70 (PWM);    78:0 (rpm);    1.88:0.00 (km/h)
70 (PWM);    84:0 (rpm);    2.03:0.00 (km/h)
80 (PWM);    84:0 (rpm);    2.03:0.00 (km/h)
80 (PWM);    84:0 (rpm);    2.03:0.00 (km/h)
80 (PWM);    90:12 (rpm);    2.17:0.29 (km/h)
80 (PWM);    102:48 (rpm);    2.46:1.16 (km/h)
80 (PWM);    102:78 (rpm);    2.46:1.88 (km/h)
90 (PWM);    102:96 (rpm);    2.46:2.32 (km/h)
90 (PWM);    108:102 (rpm);    2.61:2.46 (km/h)
90 (PWM);    108:102 (rpm);    2.61:2.46 (km/h)
90 (PWM);    114:108 (rpm);    2.75:2.61 (km/h)
90 (PWM);    114:114 (rpm);    2.75:2.75 (km/h)
100 (PWM);    114:108 (rpm);    2.75:2.61 (km/h)
100 (PWM);    120:114 (rpm);    2.90:2.75 (km/h)
100 (PWM);    120:120 (rpm);    2.90:2.90 (km/h)
100 (PWM);    120:126 (rpm);    2.90:3.04 (km/h)
100 (PWM);    126:126 (rpm);    3.04:3.04 (km/h)
110 (PWM);    120:120 (rpm);    2.90:2.90 (km/h)
110 (PWM);    126:126 (rpm);    3.04:3.04 (km/h)
110 (PWM);    126:132 (rpm);    3.04:3.18 (km/h)
110 (PWM);    132:132 (rpm);    3.18:3.18 (km/h)
110 (PWM);    132:132 (rpm);    3.18:3.18 (km/h)
120 (PWM);    132:132 (rpm);    3.18:3.18 (km/h)
120 (PWM);    132:138 (rpm);    3.18:3.33 (km/h)
